qsrank	statename	overall	Fitness	Routine	Nutrition	Sleep	Weight	Diabetes	arts	engineering	life	natural	social	id
1	Aleutians East	100	100	100	100	97.6	96.3	99.7	78.7	96.3	90.9	96.3	87.4	1000
2	Aleutians West	99.2	100	100	99.3	94.1	85.3	100	89.7	85.7	98.2	92.3	96.3	1001
3	Anchorage	99	100	100	99.6	95.5	96	95.8	93.5	90.5	91.8	97	91.2	1003
4	Bethel	98.9	99.9	98.7	98.9	96.5	100	95.6	85.6	75.9	85.4	79.6	81.2	1005
5	Bristol Bay	98.8	99.9	100	99.8	99.9	99.9	92.5	59.5	88.3	85.5	89.4	74.9	1007
6	Denali	98.7	100	100	100	97.7	96.7	93.1	99.1	86.1	92.3	90.4	94.2	1009
7	Dillingham	96.8	100	100	94.4	75.6	76	100	86.8	93.3	91.2	92.5	89.2	1011
8	Fairbanks North Star	96.5	100	100	100	94.4	72.7	88.8	89	75.2	88.6	84.3	87.4	1013
9	Haines	96.2	99.9	94.3	96.2	78.8	74.9	97.8	83.7	69.6	80.2	82.8	86.3	1015
10	Juneau	96.1	99.6	69.2	100	92.2	87.7	100	53.2	85.8	73.3	91.4	60.8	1017
11	Kenai Peninsula	96.1	100	95.1	96.3	76.3	68.8	98.8	86.5	81.6	74.1	89.2	84.4	1019
12	Ketchikan Gateway	94.3	99.9	97.9	76.5	100	98.4	94.9	60.9	89.5	81.1	91.9	0	1021
13	Kodiak Island	93.8	98.4	93.8	99.9	55	69.8	92.7	76.7	74.6	85	77.1	83.8	1023
14	Lake And Peninsula	93.6	100	100	95.9	16.2	78.8	96.8	84.3	77	84.2	83.6	87.7	1025
15	Matanuska Susitna	92.5	99.8	97.8	75.1	87.8	64.6	99.2	75.3	80.6	82.7	85.7	78.2	1027
16	Nome	92.1	96	64.1	100	78.9	69.7	97.8	66.3	69.9	91.6	75.1	67.6	1029
17	North Slope	91.3	99.7	98.3	75.1	89.8	97.3	84.5	82	74.9	82.8	81	75.9	1031
18	Northwest Arctic	91.3	99.9	95.9	78.8	97.7	86.8	82.2	80.3	80.2	85.1	83.3	79.2	1033
19	Prince Wales Ketchikan	90.9	87.9	88.3	94.5	100	100	88.2	0	86.4	72.3	86	0	1035
20	Sitka	90.9	94.6	93.7	89.9	93.9	96.6	79.3	80.6	68.2	84.7	67.3	77.4	1037
21	Skagway Hoonah Angoon	90.6	99.1	95.7	90.2	81.1	90.2	72.2	76.7	74.8	81.9	79.5	77.5	1039
22	Southeast Fairbanks	90.5	99.8	95	92.7	44	45.9	88.7	74.9	80.7	83.9	81.2	82	1041
23	Valdez Cordova	90.1	96.2	85.8	99.9	16.4	44.4	98.4	74.4	70.5	86.5	76.1	77	1043
24	Wade Hampton	89.4	100	99.9	89.1	100	96.6	57.3	79.2	87.2	81.5	86.5	87.3	1045
25	Wrangell Petersburg	89	100	100	52.1	93.9	74.7	98.9	87.2	90.2	85.6	93.4	87.3	1047
26	Yakutat	88.6	99.4	93.1	94.7	100	98.7	51.7	73.2	76.5	79.4	76.7	81.5	1049
27	Yukon Koyukuk	88.5	99.7	92.4	83.4	99.9	94.1	63.2	79.5	74.2	71.5	79.9	81.4	1051
28	Autauga	87.8	89.7	77.4	97.1	58.7	52.1	94.3	64	0	0	76.2	0	1053
29	Baldwin	87.3	92.9	90.7	87.2	12	55.4	99.5	65.1	78.2	76.6	81.6	79.4	1055
30	Barbour	86.6	92.2	98.3	78.6	83.7	81	78.1	70	71.1	76.6	78.5	70.7	1057
31	Bibb	86	99.8	100	50.1	81.5	96.6	84	78.6	79.5	83	80.4	83	1059
32	Blount	85.7	100	99.3	91.4	11.1	27.3	76.3	78.5	81.2	80.8	84.4	77.6	1061
