qsrank	StateName	qsstars	overall	Fitness	Routine	Nutrition	Sleep	Weight	Diabetes	Biometrics
1	ALABAMA	6	100	100	100	100	97.6	96.3	99.7	78.7
2	ALASKA	5	99.2	100	100	99.3	94.1	85.3	100	89.7
3	ARIZONA	5	99	100	100	99.6	95.5	96	95.8	93.5
4	ARKANSAS		98.9	99.9	98.7	98.9	96.5	100	95.6	85.6
5	CALIFORNIA		98.8	99.9	100	99.8	99.9	99.9	92.5	59.5
6	COLORADO	5	98.7	100	100	100	97.7	96.7	93.1	99.1
7	CONNECTICUT	5	96.8	100	100	94.4	75.6	76	100	86.8
8	DELAWARE	5	96.5	100	100	100	94.4	72.7	88.8	89
9	FLORIDA	5	96.2	99.9	94.3	96.2	78.8	74.9	97.8	83.7
10	GEORGIA	5	96.1	99.6	69.2	100	92.2	87.7	100	53.2
11	HAWAII	5	96.1	100	95.1	96.3	76.3	68.8	98.8	86.5
12	IDAHO		94.3	99.9	97.9	76.5	100	98.4	94.9	60.9
13	ILLINOIS	5	93.8	98.4	93.8	99.9	55	69.8	92.7	76.7
14	INDIANA	5	93.6	100	100	95.9	16.2	78.8	96.8	84.3
15	IOWA	5	92.5	99.8	97.8	75.1	87.8	64.6	99.2	75.3
16	KANSAS		92.1	96	64.1	100	78.9	69.7	97.8	66.3
17	KENTUCKY		91.3	99.7	98.3	75.1	89.8	97.3	84.5	82
18	LOUISIANA		91.3	99.9	95.9	78.8	97.7	86.8	82.2	80.3
19	MAINE		90.9	87.9	88.3	94.5	100	100	88.2	0
20	MARYLAND	5	90.9	94.6	93.7	89.9	93.9	96.6	79.3	80.6
21	MASSACHUSETTS		90.6	99.1	95.7	90.2	81.1	90.2	72.2	76.7
22	MICHIGAN	5	90.5	99.8	95	92.7	44	45.9	88.7	74.9
23	MINNESOTA	5	90.1	96.2	85.8	99.9	16.4	44.4	98.4	74.4
24	MISSISSIPPI		89.4	100	99.9	89.1	100	96.6	57.3	79.2
25	MISSOURI		89	100	100	52.1	93.9	74.7	98.9	87.2
26	MONTANA		88.6	99.4	93.1	94.7	100	98.7	51.7	73.2
27	NEBRASKA	6	88.5	99.7	92.4	83.4	99.9	94.1	63.2	79.5
28	NEVADA		87.8	89.7	77.4	97.1	58.7	52.1	94.3	64
29	NEW HAMPSHIRE		87.3	92.9	90.7	87.2	12	55.4	99.5	65.1
30	NEW JERSEY		86.6	92.2	98.3	78.6	83.7	81	78.1	70
31	NEW MEXICO		86	99.8	100	50.1	81.5	96.6	84	78.6
32	NEW YORK		85.7	100	99.3	91.4	11.1	27.3	76.3	78.5
33	NORTH CAROLINA		85.2	99.2	100	66.2	84.5	96	64.7	74.6
34	NORTH DAKOTA		84.4	93.3	90.6	86.5	100	98.6	52.6	54.8
35	OHIO		84.1	99.9	92.1	94.8	16.5	22.9	68.4	72.8
36	OKLAHOMA	6	84.1	98.7	93.6	87	47.2	60.4	60.9	66.8
37	OREGON	5	83	97.4	69.7	91.8	56.9	36	68.7	68.5
38	PENNSYLVANIA		82.9	99.5	98	50.1	99.7	87.2	68.4	78.5
39	RHODE ISLAND		82.3	94.5	83.3	87.9	95.8	81.7	47.1	68.4
40	SOUTH CAROLINA		81.9	100	98	47.7	2.3	43.6	100	84
41	SOUTH DAKOTA		81.1	74.1	97.5	99.9	72	91.4	66.2	0
42	TENNESSEE	6	81.1	92.4	94.1	90.1	100	97.1	33	62.9
43	TEXAS	6	80.9	95.7	91.9	49.8	98.8	86.8	69.3	70.8
